Humidity,Temperature,MQ139,TVOC,eCO2,Detector,Status,Cause
39.2,22.0,71,119,448,0,1,electrical/clothing
39.2,22.0,72,117,445,0,1,electrical/clothing
39.2,22.0,71,110,433,0,1,electrical/clothing
39.2,22.0,71,114,442,0,1,electrical/clothing
39.2,22.0,71,111,444,0,1,electrical/clothing
39.1,22.0,71,110,446,0,1,electrical/clothing
39.1,22.0,71,114,443,0,1,electrical/clothing
39.1,22.0,71,115,447,0,1,electrical/clothing
39.1,22.0,71,115,445,0,1,electrical/clothing
39.1,22.0,71,118,440,0,1,electrical/clothing
39.1,22.0,71,109,432,0,1,electrical/clothing
39.2,22.0,71,106,437,0,1,electrical/clothing
39.2,22.0,71,112,443,0,1,electrical/clothing
39.2,22.0,71,115,448,0,1,electrical/clothing
39.1,22.0,71,119,438,0,1,electrical/clothing
39.2,22.0,71,109,436,0,1,electrical/clothing
39.1,22.0,71,109,435,0,1,electrical/clothing
39.1,22.0,71,116,440,0,1,electrical/clothing
39.2,22.0,71,113,436,0,1,electrical/clothing
39.1,22.0,71,111,446,0,1,electrical/clothing
39.1,22.0,71,109,444,0,1,electrical/clothing
39.1,22.0,71,113,448,0,1,electrical/clothing
39.1,22.0,72,116,452,0,1,electrical/clothing
39.1,22.0,71,114,442,0,1,electrical/clothing
39.1,22.0,72,118,445,0,1,electrical/clothing
39.2,22.0,71,117,451,0,1,electrical/clothing
39.2,22.0,72,112,451,0,1,electrical/clothing
39.2,22.0,71,115,435,0,1,electrical/clothing
39.2,22.0,71,115,438,0,1,electrical/clothing
39.2,22.1,71,114,432,0,1,electrical/clothing
39.2,22.0,71,119,435,0,1,electrical/clothing
39.2,22.0,72,119,443,0,1,electrical/clothing
39.2,22.0,71,123,445,0,1,electrical/clothing
39.2,22.0,71,118,443,0,1,electrical/clothing
39.2,22.0,72,123,440,0,1,electrical/clothing
39.2,22.0,72,122,444,0,1,electrical/clothing
39.2,22.0,71,121,442,0,1,electrical/clothing
39.2,22.0,71,117,442,0,1,electrical/clothing
